category,subcategory,description,price_eu,compare,brand,supermercado
Despensa,Aperitivos y frutos secos,Alcaparras en Vinagre Tarro 80 Gr,1.3,"16,25 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cacahuetes con Miel Paquete 150 Gr,1.35,"9,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla con Hueso Bolsa 100 Gr,0.9,"9,00 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Caseras Bolsa Papel 250 Gr,2.65,"10,60 € / 1 Kg",Vidal,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla con Hueso en Frasco 500 Gr,2.59,"5,18 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Galletas Saladas Bacón Paquete 100 Gr,1.49,"14,90 € / 1 Kg",Lu,CONSUM
Despensa,Aperitivos y frutos secos,Pepinillos Agridulces Frasco 230 Gr,1.69,"7,35 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Guindillas en Vinagre Frasco 160 Gr,1.29,"8,06 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cóctel Frutos Secos Clásico Bolsa 175 Gr,2.19,"12,51 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla sin Hueso en Frasco 400 Gr,2.59,"6,48 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Palomitas Microondas Saladas Pack de 3 3 x 100 Gr,2.45,"8,17 € / 1 Kg",Popitas,CONSUM
Despensa,Aperitivos y frutos secos,Picadillo de Encurtidos Frasco 200 Gr,1.35,"6,75 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Calabaza Tostadas Sal Bolsa 125 Gr,1.55,"12,40 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla Sabor Anchoa con Hueso 500 Gr,3.05,"6,10 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Palomitas Mantequilla Bolsa 90 Gr,0.85,"9,44 € / 1 Kg",Consum kids,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Sin Sal Añadida Bolsa 130 Gr,1.29,"9,92 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aros de Maíz Kaskys Bolsa 120 Gr,1.09,"9,08 € / 1 Kg",Tosfrit,CONSUM
Despensa,Aperitivos y frutos secos,Selección Frutos Secos y Snacks Mix5 XL 300 Gr,2.85,"9,50 € / 1 Kg",Mistercorn,CONSUM
Despensa,Aperitivos y frutos secos,Galleta Salada Bote 350 Gr,1.3,"3,71 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Almendra Repelada Cruda 150 Gr,1.89,"12,60 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Campesinas Ahorro 250 Gr,3.09,"12,36 € / 1 Kg",Lay's,CONSUM
Despensa,Aperitivos y frutos secos,Palitos de Patatas Bolsa 75 Gr,0.85,"11,33 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Maíz Gigante Frito Bolsa 250 Gr,2.25,"9,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cortezas Morro-Torrezno Bolsa 150 Gr,2.05,"13,67 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas Lata 600 Gr,4.35,"7,25 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Cuatro Variantes en Vinagre Frasco 225 Gr,1.45,"6,44 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Maíz Gigante Frito Barbacoa Bolsa 100 Gr,1.15,"11,50 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Aceituna Verde Negra-Cebollita-Pepinillo 185 Gr,1.99,"10,76 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Galletas Saladas Cracker Caja 200 Gr,2.75,"13,75 € / 1 Kg",Ritz,CONSUM
Despensa,Aperitivos y frutos secos,Coctel Frutos Secos Cáscara Bolsa 250 Gr,1.75,"7,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Sabor Anchoa con Hueso en Lata 185 Gr,2.09,"11,30 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Manzanilla Frasco 420 Gr,4.69,"11,17 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Cóctel Frutos Secos Especial Premiun 100 Gr,1.99,"19,90 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna con Guindilla Picante 150 Gr,2.99,"19,93 € / 1 Kg",Kimbo,CONSUM
Despensa,Aperitivos y frutos secos,Piñones Pelados Tarro 45 Gr,4.99,"11,09 € / 100 Gr",Sabater,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas Jalapeños Lata 130 Gr,2.05,"15,77 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Avellana Cáscara Granel,7.6,"7,60 € / 1 Kg",,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Gordal con Hueso en Frasco 475 Gr,4.19,"8,82 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Alcaparrones en Vinagre Frasco 150 Gr,2.08,"13,87 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Gordal Picante con Hueso en Frasco 475 Gr,4.19,"8,82 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Cocktail Imperial Tarro 360 Gr,4.89,"13,58 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Cebollitas Sabor Anchoa Tarro 200 Gr,1.59,"7,95 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pimiento en Salmuera Pet 425 Gr,2.75,"6,55 € / 1 Kg",Corbi,CONSUM
Despensa,Aperitivos y frutos secos,Banderillas Picantes Aceite y Sabor Anchoa 120 Gr,2.65,"22,08 € / 1 Kg",Kimbo,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Gordal Picante sin Hueso Lata 150 Gr,2.39,"15,93 € / 1 Kg",Bernal,CONSUM
Despensa,Aperitivos y frutos secos,Pipa Calabaza Pelada Tostada Paquete 150 Gr,2.25,"15,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cacahuete Garrapiñado Doypack 130 Gr,1.19,"9,15 € / 1 Kg",Prunita,CONSUM
Despensa,Aperitivos y frutos secos,Almendra con Cáscara Tostada Bolsa 250 Gr,3.25,"13,00 € / 1 Kg",,CONSUM
Despensa,Aperitivos y frutos secos,Pepinillo Agridulce Bote 400 Gr,2.09,"5,23 € / 1 Kg",Bernal,CONSUM
Despensa,Aperitivos y frutos secos,Tortilla Nachips Bolsa 185 Gr,2.75,"14,86 € / 1 Kg",Old el paso,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Flor de Sal con Hierbas Aromáticas 150 Gr,1.99,"13,27 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Chips de Maíz y Chía con Sal Marina Mios! 150 Gr,1.9,"12,67 € / 1 Kg",Risi,CONSUM
Despensa,Aperitivos y frutos secos,Snack de Maíz con Sabor a Mantequilla 100 Gr,1.3,"13,00 € / 1 Kg",Jumpers,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoa Suaves 130 Gr,1.89,"14,54 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Mango Deshidratado Doypack 90 Gr,1.91,"21,22 € / 1 Kg",Prunita,CONSUM
Despensa,Aperitivos y frutos secos,Coquitos Grano Bolsa 150 Gr,2.25,"15,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Frutos Secos Top 5 170 Gr,2.5,"14,71 € / 1 Kg",Frit ravich,CONSUM
Despensa,Aperitivos y frutos secos,Snack Multicereales al Toque de Sal Marina 95 Gr,2.19,"23,05 € / 1 Kg",Sunbites,CONSUM
Despensa,Aperitivos y frutos secos,Almendra Cáscara Blanda Cruda Granel,9.6,"9,60 € / 1 Kg",,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Oro Bolsa 150 Gr,1.8,"12,00 € / 1 Kg",El manisero,CONSUM
Despensa,Aperitivos y frutos secos,Patata Frita Viruta más Ketchup Tarrina 175 Gr,2.2,"12,57 € / 1 Kg",Argente,CONSUM
Despensa,Aperitivos y frutos secos,Mix Sabores de América Bolsa 180 Gr,2.39,"13,28 € / 1 Kg",Mistercorn,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Negras Sin Hueso Cacereña 3 x 50 Gr,3.15,"21,00 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Manzana Deshidratada Roja Bolsa 20 Gr,0.85,"4,25 € / 100 Gr",Frubis,CONSUM
Despensa,Aperitivos y frutos secos,Frutos Secos y Frutas Arándanos y Cerezas 120 Gr,2.65,"22,08 € / 1 Kg",Snatt's,CONSUM
Despensa,Aperitivos y frutos secos,Frutos Secos y Frutas Piña y Papaya 120 Gr,2.65,"22,08 € / 1 Kg",Snatt's,CONSUM
Despensa,Aperitivos y frutos secos,Pistacho con Cáscara Crudo Bolsa 150 Gr,2.49,"16,60 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Negras en Rodajas Tarro 110 Gr,1.95,"17,73 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Nachos con Chia Paquete 130 Gr,1.4,"10,77 € / 1 Kg",Zanuy,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Partida de la Abuela Antequera 550 Gr,3.75,"6,82 € / 1 Kg",Chicón,CONSUM
Despensa,Aperitivos y frutos secos,Conos de Maíz 3D's Sabor Queso 100 Gr,1.89,"18,90 € / 1 Kg",Matutano,CONSUM
Despensa,Aperitivos y frutos secos,Mix Familiar 500 Gr,2.55,"5,10 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pan de Gambas Bolsa 80 Gr,1.45,"18,13 € / 1 Kg",Escriva,CONSUM
Despensa,Aperitivos y frutos secos,Nachos de Maíz Fritos Sabor Natural 300 Gr,2.65,"8,83 € / 1 Kg",Mexifoods,CONSUM
Despensa,Aperitivos y frutos secos,Picoteo Surtido de Snacks 90 Gr,1.15,"12,78 € / 1 Kg",Tosfrit,CONSUM
Despensa,Aperitivos y frutos secos,Tuc Crackers Pack de 2 x 100 Gr,2.25,"11,25 € / 1 Kg",Lu,CONSUM
Despensa,Aperitivos y frutos secos,Pistacho Tostado Bolsa 130 Gr,3.39,"26,08 € / 1 Kg",Pizarro,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Receta Original 250 Gr,2.35,"9,40 € / 1 Kg",Vidal,CONSUM
Despensa,Aperitivos y frutos secos,Ajos Aliñados Frasco 220 Gr,2.3,"10,45 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Maíz Mistercorn Maxi Ahorro Bolsa 285 Gr,2.85,"10,00 € / 1 Kg",Mistercorn,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Rellena Limón 130 Gr,1.99,"15,31 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Gordal sin Hueso Aliñada 360 Gr,4.99,"13,86 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Sal al Horno 150 Gr,2.39,"15,93 € / 1 Kg",Lay's,CONSUM
