description,product_code,category,subcategory,pr_23,pr_24
"Bebida isotónica limón Aquarius",29608,"Agua y refrescos","Isotónico y energético",1.95,1.99
"Bebida isotónica limón Aquarius",29605,"Agua y refrescos","Isotónico y energético",6.48,6.8
"Bebida isotónica limón Aquarius",29625,"Agua y refrescos","Isotónico y energético",0.85,0.89
"Bebida isotónica sabor cítrico Iso drink",28576,"Agua y refrescos","Isotónico y energético",1.06,1
"Bebida isotónica sabor cítrico Iso drink",28575,"Agua y refrescos","Isotónico y energético",2.4,2.7
"Bebida isotónica sabor cítrico Iso drink",28574,"Agua y refrescos","Isotónico y energético",0.4,0.45
"Bebida isotónica naranja Aquarius",29609,"Agua y refrescos","Isotónico y energético",1.95,1.99
"Bebida isotónica naranja Aquarius",29604,"Agua y refrescos","Isotónico y energético",6.48,6.8
"Bebida isotónica naranja Aquarius",29624,"Agua y refrescos","Isotónico y energético",0.85,0.89
"Bebida isotónica limón Aquarius zero azúcar",29612,"Agua y refrescos","Isotónico y energético",1.95,1.99
"Bebida isotónica de naranja Iso drink",28688,"Agua y refrescos","Isotónico y energético",1.06,1
"Bebida isotónica de naranja Iso drink",28690,"Agua y refrescos","Isotónico y energético",2.4,2.7
"Bebida isotónica de naranja Iso drink",28689,"Agua y refrescos","Isotónico y energético",0.4,0.45
"Bebida isotónica Iso On blue Hacendado",29410,"Agua y refrescos","Isotónico y energético",1.55,1.55
"Bebida isotónica Iso On blue Hacendado",29080,"Agua y refrescos","Isotónico y energético",0.6,0.6
"Bebida isotónica azul Powerade",27491,"Agua y refrescos","Isotónico y energético",1.07,1.52
"Bebida energética Zero Hacendado",27944,"Agua y refrescos","Isotónico y energético",0.45,0.4
"Bebida energética Energy Ultra zero Monster",28670,"Agua y refrescos","Isotónico y energético",6.32,6.68
"Bebida energética Energy Ultra zero Monster",28119,"Agua y refrescos","Isotónico y energético",1.7,1.79
"Bebida energética energy Monster",28664,"Agua y refrescos","Isotónico y energético",6.72,7.08
