product~product_type~product_volume~product_price_per_unit~product_price~product_unit~product_category~product_subcategory~product_url~product_code~collected_timestamp
Pimentón dulce de la Vera Hacendado~Bote~75 g~| 20,667 €/kg~1.55~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34102/pimenton-dulce-vera-hacendado-bote~34102~2023-03-11 21:59:08.259164
Azafrán molido Hacendado~Paquete~4 sobres (0,4 g)~| 437,50 €/100 g~1.75~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34116/azafran-molido-hacendado-paquete~34116~2023-03-11 21:59:08.859513
Azafrán hebra Hacendado~Paquete~3 usos (0,38 g)~| 459,46 €/100 g~1.7~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34115/azafran-hebra-hacendado-paquete~34115~2023-03-11 21:59:09.417937
Pimentón picante Hacendado~Bote~60 g~| 22,50 €/kg~1.35~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34183/pimenton-picante-hacendado-bote~34183~2023-03-11 21:59:09.994719
Pimienta negra molida Hacendado~Bote~70 g~| 14,286 €/kg~1.0~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34171/pimienta-negra-molida-hacendado-bote~34171~2023-03-11 21:59:10.616826
Molinillo pimienta negra Hacendado~Bote~65 g~| 25,385 €/kg~1.65~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/67693/molinillo-pimienta-negra-hacendado-bote~67693~2023-03-11 21:59:11.226978
Pimienta negra en grano Hacendado~Bote~70 g~| 20,715 €/kg~1.45~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34172/pimienta-negra-grano-hacendado-bote~34172~2023-03-11 21:59:11.822873
Molinillo mix pimientas Hacendado~Bote~50 g~| 36,00 €/kg~1.8~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/67694/molinillo-mix-pimientas-hacendado-bote~67694~2023-03-11 21:59:12.431957
Pimienta blanca molida Hacendado~Bote~70 g~| 30,715 €/kg~2.15~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34170/pimienta-blanca-molida-hacendado-bote~34170~2023-03-11 21:59:13.059160
Ajo granulado Hacendado~Bote~85 g~| 9,648 €/kg~0.82~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34181/ajo-granulado-hacendado-bote~34181~2023-03-11 21:59:13.665222
Cebolla frita crujiente Hacendado~Bote~150 g~| 6,667 €/kg~1.0~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34208/cebolla-frita-crujiente-hacendado-bote~34208~2023-03-11 21:59:14.236989
Canela molida Hacendado~Bote~52 g~| 18,27 €/kg~0.95~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34177/canela-molida-hacendado-bote~34177~2023-03-11 21:59:14.935515
Canela en rama Hacendado~Bote~18 g~| 7,50 €/100 g~1.35~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34176/canela-rama-hacendado-bote~34176~2023-03-11 21:59:15.652328
Comino molido Hacendado~Bote~58 g~| 17,242 €/kg~1.0~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34120/comino-molido-hacendado-bote~34120~2023-03-11 21:59:16.340862
Comino en grano Hacendado~Bote~56 g~| 34,822 €/kg~1.95~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34121/comino-grano-hacendado-bote~34121~2023-03-11 21:59:17.060517
Curry Hacendado~Bote~57 g~| 20,176 €/kg~1.15~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34125/curry-hacendado-bote~34125~2023-03-11 21:59:17.726047
Nuez moscada molida Hacendado~Bote~58 g~| 28,449 €/kg~1.65~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34173/nuez-moscada-molida-hacendado-bote~34173~2023-03-11 21:59:18.448796
Picada catalana Hacendado~Bote~25 g~| 8,20 €/100 g~2.05~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34717/picada-catalana-hacendado-bote~34717~2023-03-11 21:59:19.175310
Cebolla en polvo Hacendado~Bote~60 g~| 16,00 €/kg~0.96~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34138/cebolla-polvo-hacendado-bote~34138~2023-03-11 21:59:19.884722
Cayena guindillas Hacendado~Bote~27 g~| 4,63 €/100 g~1.25~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34178/cayena-guindillas-hacendado-bote~34178~2023-03-11 21:59:20.535369
Cayena molida Hacendado~Bote~55 g~| 28,00 €/kg~1.54~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/37417/cayena-molida-hacendado-bote~37417~2023-03-11 21:59:21.208551
Cúrcuma Hacendado~Bote~60 g~| 20,834 €/kg~1.25~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34163/curcuma-hacendado-bote~34163~2023-03-11 21:59:21.954706
Jengibre molido Hacendado~Bote~49 g~| 3,266 €/100 g~1.6~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34149/jengibre-molido-hacendado-bote~34149~2023-03-11 21:59:22.673391
Sal de ajo Hacendado~Bote~130 g~| 13,462 €/kg~1.75~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/34130/sal-ajo-hacendado-bote~34130~2023-03-11 21:59:23.378776
Ñoras Hacendado~Paquete~25 g~| 5,40 €/100 g~1.35~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34113/noras-hacendado-paquete~34113~2023-03-11 21:59:23.997569
Clavo en grano Hacendado~Bote~42 g~| 4,167 €/100 g~1.75~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34122/clavo-grano-hacendado-bote~34122~2023-03-11 21:59:24.767456
Vainilla en rama Hacendado~Paquete~2 ud.~| 2,50 €/ud~5.0~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34068/vainilla-rama-hacendado-paquete~34068~2023-03-11 21:59:25.495990
Anís en grano Hacendado~Bote~50 g~| 38,00 €/kg~1.9~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34123/anis-grano-hacendado-bote~34123~2023-03-11 21:59:26.215520
Pimientos choriceros dulces del cristal Hacendado~Paquete~50 g~| 38,40 €/kg~1.92~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34790/pimientos-choriceros-dulces-cristal-hacendado-paquete~34790~2023-03-11 21:59:26.858730
