description,units,price_eu,unit_price,date,order_num,product_code
lavavajillas ultra original fairy liquido,1,2.8,2.8,2019-02-27,125935,16805.0
mini taquitos de jamon incarlopsa,1,1.95,1.95,2019-02-27,125935,
agua mineral cortes,1,0.73,0.73,2019-02-27,125935,
fusilli armando,1,0.95,0.95,2019-02-27,125935,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2019-02-27,125935,51079.0
galletas cookies hacendado,1,1.25,1.25,2019-02-27,125935,
tomate cherry,1,1.49,1.49,2019-02-27,125935,69990.0
limpiacristales y multiusos bosque verde,1,1.15,1.15,2019-02-27,125935,43218.0
patata,1,3.5,3.5,2019-02-27,125935,
"champu agua de coco fructis raices grasas, puntas secas",1,2.95,2.95,2019-02-27,125935,
arroz redondo la fallera,1,1.35,1.35,2019-02-27,125935,
platano,6,2.2,0.3666666666666667,2019-02-27,125935,3132.0
gel de bano oliva deliplus piel seca,1,1.35,1.35,2019-02-27,125935,
dentifrico original binaca,1,1.5,1.5,2019-02-27,125935,
caldo de verduras hacendado,1,1.0,1.0,2019-02-27,125935,
pechuga de pavo hacendado finas lonchas,1,2.95,2.95,2019-02-27,125935,
jamon serrano incarlopsa lonchas extrafinas,1,1.99,1.99,2019-02-27,125935,
maiz dulce hacendado,1,0.95,0.95,2019-02-27,125935,
queso rallado hacendado especial fundir,1,1.0,1.0,2019-02-27,125935,51239.0
hogaza 100% natural,1,1.0,1.0,2019-02-27,125935,
cafe en capsula sontuoso l'or espresso,2,6.58,3.29,2019-02-27,125935,
chocolate con leche lindt,1,1.15,1.15,2019-02-27,125935,
cafe en capsula ristretto l'or espresso,3,9.87,3.29,2019-02-27,125935,
chocolate con leche milka,1,1.01,1.01,2019-02-27,125935,
lenteja cocida hacendado,2,1.18,0.59,2019-02-27,125935,5325.0
leche desnatada pascual,2,10.68,5.34,2019-02-27,125935,
pan de molde con avena hacendado,1,1.25,1.25,2019-02-27,125935,
dentifrico max white one colgate,2,5.4,2.7,2019-02-27,125935,
queso curado entrepinares,1,2.66,2.66,2019-02-27,125935,50153.0
queso havarti light hacendado lonchas,1,2.56,2.56,2019-02-27,125935,50546.0
chorizo oreado,1,1.87,1.87,2019-02-27,125935,
morcilla oreada d' ontinyent,1,1.48,1.48,2019-02-27,125935,35049.0
aguacate,1,2.15,2.15,2019-02-27,125935,
longaniza fresca d' ontinyent,1,3.06,3.06,2019-02-27,125935,
lomo embuchado hacendado lonchas,1,1.71,1.71,2019-02-27,125935,
nuez moscada molida hacendado,1,1.1,1.1,2019-02-27,125935,
placas para lasana precocidas el pavo,1,1.25,1.25,2019-02-27,125935,
placas para canelones del castillo,1,0.58,0.58,2019-02-27,125935,
panuelos de papel extra suaves bosque verde,1,1.05,1.05,2019-02-27,125935,47609.0
spaghetti al huevo hacendado,1,0.99,0.99,2019-02-27,125935,
agua mineral bronchales grande,1,2.46,2.46,2019-02-27,125935,
berenjena,3,1.4,0.4666666666666666,2019-02-27,125935,
mozzarella fresca hacendado,2,1.6,0.8,2019-02-27,125935,51050.0
pizza iberica hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,
pizza mozzarella y pesto hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,
esparrago verde entero jv ultracongelado,1,2.6,2.6,2019-02-27,125935,61239.0
yogur natural edulcorado hacendado 0% materia grasa 0% sin azucares anadidos,1,0.79,0.79,2019-02-27,125935,20221.0
verdura floretas de brocoli para micro,1,1.2,1.2,2019-02-27,125935,69622.0
pizza masa fina jamon hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,63725.0
angurinas pescanova ultracongeladas,1,1.99,1.99,2019-02-27,125935,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.15,2.15,2019-02-27,125935,33078.0
salchichon extra hacendado lonchas,1,1.39,1.39,2019-02-27,125935,59090.0
aceitunas negras cacerenas hacendado a rodajas,1,1.5,1.5,2019-02-27,125935,86593.0
berenjena,3,2.08,0.6933333333333334,2020-10-22,404271,
brocoli,1,0.99,0.99,2020-10-22,404271,
zanahorias,1,0.69,0.69,2020-10-22,404271,5251.0
caldo de verduras hacendado,1,1.0,1.0,2020-10-22,404271,
pan de molde 100% integral familiar hacendado,1,0.95,0.95,2020-10-22,404271,
corazones de alcachofa hacendado,1,2.3,2.3,2020-10-22,404271,16039.0
platano,6,1.94,0.3233333333333333,2020-10-22,404271,3132.0
sal lavavajillas bosque verde en grano,1,1.04,1.04,2020-10-22,404271,
champu anticaspa h&s cabello graso,1,2.99,2.99,2020-10-22,404271,35309.0
servilleta papel bosque verde,1,0.9,0.9,2020-10-22,404271,
calabacin verde,3,1.36,0.4533333333333333,2020-10-22,404271,
esparrago verde grueso,1,2.99,2.99,2020-10-22,404271,
dentifrico max white one colgate,1,2.7,2.7,2020-10-22,404271,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2020-10-22,404271,79407.0
lavavajillas todo en 1 fairy en pastillas,1,4.5,4.5,2020-10-22,404271,42186.0
jamon serrano incarlopsa lonchas,1,3.49,3.49,2020-10-22,404271,
queso fresco de cabra hacendado,1,2.2,2.2,2020-10-22,404271,
queso rallado 4 quesos hacendado,1,1.59,1.59,2020-10-22,404271,
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-10-22,404271,51052.0
mozzarella di bufala campana hacendado,1,1.7,1.7,2020-10-22,404271,
salchichon extra pimienta hacendado finas lonchas,1,1.38,1.38,2020-10-22,404271,
mortadela italiana hacendado finas lonchas,1,1.69,1.69,2020-10-22,404271,
dentifrico triple accion colgate con fluor,2,3.5,1.75,2020-10-22,404271,73978.0
lenteja cocida pardina hacendado,2,0.98,0.49,2020-10-22,404271,5330.0
papel multiusos resistente bosque verde,1,2.89,2.89,2020-10-22,404271,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-10-22,404271,86467.0
gel de bano oliva deliplus piel seca,2,2.7,1.35,2020-10-22,404271,
gelatina 0% azucar sabor fresa hacendado,1,0.98,0.98,2020-10-22,404271,68187.0
friegasuelos pino bosque verde liquido,1,0.68,0.68,2020-10-22,404271,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-10-22,404271,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-10-22,404271,
hamburguesas de vacuno gruesas,2,6.24,3.12,2020-10-01,466635,3547.0
dentifrico blanqueador sensation colgate,2,4.1,2.05,2020-10-01,466635,13868.0
champu repara & protege pantene cabello debil y danado,2,5.98,2.99,2020-10-01,466635,
jamon cocido extra hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635,59249.0
lenteja cocida hacendado,2,1.18,0.59,2020-10-01,466635,5325.0
nata ligera para cocinar hacendado,1,1.32,1.32,2020-10-01,466635,10320.0
gazpacho fresco hacendado,1,2.69,2.69,2020-10-01,466635,
detergente ropa blanca y de color bosque verde liquido concentrado,1,6.95,6.95,2020-10-01,466635,
bolsa de basura grande bosque verde 50l cubo grande,1,1.55,1.55,2020-10-01,466635,
friegasuelos pino bosque verde liquido,1,0.68,0.68,2020-10-01,466635,
salteado de verduras asadas hacendado ultracongeladas,1,1.5,1.5,2020-10-01,466635,
parrillada de verduras hacendado ultracongeladas,1,1.2,1.2,2020-10-01,466635,
ensalada mezcla duo canonigos y rucula,1,1.35,1.35,2020-10-01,466635,
jabon de manos dermoprotector deliplus liquido,2,1.6,0.8,2020-10-01,466635,
servilleta papel bosque verde,1,0.92,0.92,2020-10-01,466635,
cebollas,1,1.3,1.3,2020-10-01,466635,
sal lavavajillas bosque verde en pastillas,1,1.4,1.4,2020-10-01,466635,
agua mineral cortes,2,1.46,0.73,2020-10-01,466635,
perfilador de cejas definidor deliplus 01,1,3.95,3.95,2018-04-12,73955,
lechuga iceberg base para ensalada,1,0.87,0.87,2018-04-12,73955,
nata ligera para cocinar hacendado,1,1.32,1.32,2018-04-12,73955,10320.0
cafe molido natural hacendado,1,1.05,1.05,2018-04-12,73955,11714.0
macarron al huevo hacendado,1,0.99,0.99,2018-04-12,73955,
arroz redondo la fallera,1,1.35,1.35,2018-04-12,73955,
papel higienico humedo wc bosque verde,1,1.74,1.74,2018-04-12,73955,
servilleta papel suavidad y absorcion bosque verde,1,0.99,0.99,2018-04-12,73955,49544.0
