product_code,product_price,collected_timestamp
33159.0,2.0,2023-03-11 
33108.0,2.65,2023-03-11 
33189.0,1.65,2023-03-11 
15967.0,2.5,2023-03-11 
34024.0,2.25,2023-03-11 
34865.0,2.3,2023-03-11 
86202.0,3.3,2023-03-11 
34079.0,1.2,2023-03-11 
86190.0,3.3,2023-03-11 
70702.0,1.05,2023-03-11 
34078.0,1.2,2023-03-11 
23365.0,2.5,2023-03-11 
34822.0,1.1,2023-03-11 
34027.0,2.3,2023-03-11 
34025.0,2.8,2023-03-11 
34013.0,2.8,2023-03-11 
34868.0,1.3,2023-03-11 
34821.0,1.0,2023-03-11 
34009.0,2.8,2023-03-11 
34031.0,1.7,2023-03-11 
34014.0,2.8,2023-03-11 
34804.0,0.82,2023-03-11 
13597.0,1.15,2023-03-11 
34838.0,2.95,2023-03-11 
86811.0,1.39,2023-03-11 
34188.0,1.63,2023-03-11 
34194.0,1.4,2023-03-11 
34143.0,1.7,2023-03-11 
34016.0,1.7,2023-03-11 
34961.0,1.49,2023-03-11 
34145.0,1.0,2023-03-11 
34893.0,1.8,2023-03-11 
34212.0,1.35,2023-03-11 
23575.0,2.64,2023-03-11 
34164.0,2.55,2023-03-11 
34964.0,1.4,2023-03-11 
34043.0,1.35,2023-03-11 
34193.0,1.11,2023-03-11 
34962.0,1.25,2023-03-11 
34606.0,3.25,2023-03-11 
34095.0,1.6,2023-03-11 
23059.0,1.5,2023-03-11 
34236.0,3.37,2023-03-11 
34262.0,2.64,2023-03-11 
34997.0,3.56,2023-03-11 
34817.0,1.7,2023-03-11 
13451.0,1.2,2023-03-11 
13738.0,2.75,2023-03-11 
34231.0,1.5,2023-03-11 
12012.0,2.2,2023-03-11 
34047.0,1.95,2023-03-11 
34217.0,1.75,2023-03-11 
86809.0,2.5,2023-03-11 
60015.0,2.45,2023-03-11 
60009.0,2.45,2023-03-11 
34924.0,1.6,2023-03-11 
34234.0,1.55,2023-03-11 
80450.0,1.5,2023-03-11 
50031.0,2.15,2023-03-11 
23010.0,1.3,2023-03-11 
23003.0,1.54,2023-03-11 
34209.0,1.35,2023-03-11 
22835.0,1.06,2023-03-11 
16846.0,2.16,2023-03-11 
34605.0,2.4,2023-03-11 
33440.0,1.35,2023-03-11 
13877.0,2.55,2023-03-11 
34937.0,1.54,2023-03-11 
34235.0,2.65,2023-03-11 
22974.0,4.09,2023-03-11 
60721.0,2.84,2023-03-11 
33307.0,1.5,2023-03-11 
22245.0,1.9,2023-03-11 
33444.0,1.05,2023-03-11 
33365.0,0.9,2023-03-11 
33335.0,1.3,2023-03-11 
33363.0,1.1,2023-03-11 
15810.0,1.3,2023-03-11 
33347.0,1.2,2023-03-11 
33555.0,2.39,2023-03-11 
13845.0,1.2,2023-03-11 
33556.0,2.39,2023-03-11 
13548.0,1.15,2023-03-11 
33367.0,1.15,2023-03-11 
33613.0,1.15,2023-03-11 
33328.0,1.5,2023-03-11 
33325.0,1.1,2023-03-11 
33368.0,1.2,2023-03-11 
46580.0,1.85,2023-03-11 
86205.0,1.15,2023-03-11 
46573.0,1.99,2023-03-11 
33640.0,1.0,2023-03-11 
33529.0,1.79,2023-03-11 
33639.0,0.7,2023-03-11 
13503.0,1.99,2023-03-11 
33543.0,1.79,2023-03-11 
33641.0,1.0,2023-03-11 
13889.0,0.7,2023-03-11 
33642.0,0.75,2023-03-11 
15778.0,0.75,2023-03-11 
14216.0,1.3,2023-03-11 
33581.0,0.75,2023-03-11 
33488.0,1.4,2023-03-11 
16860.0,0.75,2023-03-11 
33636.0,1.49,2023-03-11 
33637.0,1.45,2023-03-11 
33436.0,1.25,2023-03-11 
33633.0,0.75,2023-03-11 
33624.0,1.5,2023-03-11 
33416.0,1.4,2023-03-11 
22991.0,1.0,2023-03-11 
22434.0,1.45,2023-03-11 
33440.0,1.35,2023-03-11 
33672.0,0.9,2023-03-11 
67774.0,0.85,2023-03-11 
14926.0,1.4,2023-03-11 
22568.0,0.85,2023-03-11 
33407.0,0.8,2023-03-11 
22294.0,1.1,2023-03-11 
33409.0,1.2,2023-03-11 
22835.0,1.06,2023-03-11 
15757.0,0.95,2023-03-11 
34811.0,1.3,2023-03-11 
50360.0,0.95,2023-03-11 
33442.0,1.05,2023-03-11 
53144.0,3.34,2023-03-11 
80476.0,1.0,2023-03-11 
5044.0,1.3,2023-03-11 
5063.0,1.3,2023-03-11 
22280.0,1.2,2023-03-11 
22281.0,1.15,2023-03-11 
5025.0,4.5,2023-03-11 
22278.0,1.5,2023-03-11 
22279.0,1.15,2023-03-11 
5042.0,1.54,2023-03-11 
