date,order_num,description,category,subcategory,units,price_eu,price_order,price_now
2023-01-11,13449668,"Queso de cabra Président en medallones","Charcutería y quesos","Queso untable y fresco",1,3.32,3.32,3.32
2023-01-04,13397754,"Queso de cabra Président en medallones","Charcutería y quesos","Queso untable y fresco",1,3.32,3.32,3.32
2018-11-13,61858,"Queso de cabra Montesinos","Charcutería y quesos","Queso untable y fresco",1,3.95,3.95,3.17
2023-03-11,13945376,"Atún en aceite de girasol Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",2,13.6,6.8,6.65
2020-01-10,302316,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",2,7.98,3.99,5.45
2019-02-27,125935,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.99,3.99,5.45
2019-01-31,107492,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",2,7.98,3.99,5.45
2022-09-28,470822,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",2,9.3,4.65,5.45
2021-09-28,209834,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.95,3.95,5.45
2019-10-04,156155,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.99,3.99,5.45
2018-11-13,61858,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.99,3.99,5.45
2021-09-09,101295,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.95,3.95,5.45
2020-08-27,134160,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.99,3.99,5.45
2022-07-13,996926,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",2,9.3,4.65,5.45
