product_code,price_eu,collected_timestamp
13571.0,1.5,2024-03-13
35787.0,1.9,2024-03-13
52442.0,1.75,2024-03-13
52827.0,1.5,2024-03-13
52824.0,2.9,2024-03-13
12413.0,2.9,2024-03-13
12417.0,3.9,2024-03-13
12418.0,3.9,2024-03-13
60531.0,1.9,2024-03-13
60535.0,1.9,2024-03-13
52826.0,1.15,2024-03-13
52825.0,1.15,2024-03-13
12238.0,4.3,2024-03-13
35909.0,1.9,2024-03-13
12288.0,6.3,2024-03-13
86496.0,7.0,2024-03-13
14221.0,2.25,2024-03-13
12471.0,3.7,2024-03-13
86027.0,3.75,2024-03-13
67416.0,1.95,2024-03-13
22511.0,2.4,2024-03-13
67409.0,3.69,2024-03-13
67163.0,3.49,2024-03-13
10286.0,2.71,2024-03-13
67417.0,1.95,2024-03-13
67164.0,3.49,2024-03-13
22836.0,3.05,2024-03-13
16883.0,3.05,2024-03-13
23044.0,2.9,2024-03-13
65008.0,1.25,2024-03-13
65077.0,1.15,2024-03-13
67814.0,1.15,2024-03-13
65088.0,0.95,2024-03-13
65017.0,1.45,2024-03-13
65064.0,1.75,2024-03-13
65070.0,1.25,2024-03-13
65158.0,1.45,2024-03-13
52437.0,1.65,2024-03-13
65059.0,2.15,2024-03-13
65055.0,1.0,2024-03-13
23528.0,1.15,2024-03-13
86288.0,1.65,2024-03-13
86847.0,1.65,2024-03-13
67736.0,1.65,2024-03-13
52445.0,1.1,2024-03-13
67967.0,1.9,2024-03-13
60384.0,1.65,2024-03-13
67968.0,1.65,2024-03-13
35856.0,1.65,2024-03-13
60630.0,1.85,2024-03-13
60540.0,1.85,2024-03-13
60538.0,1.6,2024-03-13
60539.0,1.85,2024-03-13
60567.0,1.6,2024-03-13
86755.0,1.55,2024-03-13
13441.0,1.5,2024-03-13
15077.0,1.7,2024-03-13
35932.0,1.95,2024-03-13
86684.0,1.55,2024-03-13
13444.0,1.5,2024-03-13
15047.0,3.0,2024-03-13
15048.0,3.0,2024-03-13
15076.0,1.35,2024-03-13
15068.0,1.7,2024-03-13
67753.0,1.95,2024-03-13
52837.0,2.4,2024-03-13
22476.0,1.7,2024-03-13
86033.0,2.55,2024-03-13
15436.0,4.7,2024-03-13
15430.0,3.3,2024-03-13
15449.0,4.75,2024-03-13
15448.0,3.85,2024-03-13
15428.0,2.4,2024-03-13
15451.0,4.2,2024-03-13
52749.0,1.7,2024-03-13
15093.0,1.6,2024-03-13
15094.0,1.6,2024-03-13
15071.0,1.7,2024-03-13
9265.0,1.7,2024-03-13
9280.0,1.7,2024-03-13
9058.0,1.7,2024-03-13
9247.0,1.7,2024-03-13
9288.0,3.0,2024-03-13
9246.0,1.7,2024-03-13
9242.0,1.7,2024-03-13
9259.0,1.7,2024-03-13
9298.0,3.0,2024-03-13
9387.0,3.0,2024-03-13
22180.0,0.9,2024-03-13
