product,unidades,product_code
Refresco Coca-Cola,Botella 500 ml,29360.0
Refresco Coca-Cola,12 latas x 330 ml ,27321.0
Refresco Coca-Cola,Lata 330 ml,27326.0
Refresco cola Hacendado,Botella 2 L,29072.0
Refresco cola Hacendado,6 latas x 330 ml ,29031.0
Refresco cola Hacendado,Lata 330 ml,29032.0
Refresco cola Pepsi,"Botella 1,75 L",23894.0
Refresco Coca-Cola Zero azúcar,12 latas x 330 ml ,27426.0
Refresco Coca-Cola Zero azúcar,Lata 330 ml,27414.0
Refresco Coca-Cola Zero azúcar,2 botellas x 2 L ,27449.0
Refresco Coca-Cola Zero azúcar,Botella 2 L,27445.0
Refresco Coca-Cola Zero azúcar,"Botella 1,25 L",13816.0
Refresco Coca-Cola Zero azúcar,4 botellas x 500 ml ,28115.0
Refresco Coca-Cola Zero azúcar,Botella 500 ml,29361.0
Refresco Coca-Cola light,12 latas x 330 ml ,27656.0
Refresco Coca-Cola light,Lata 330 ml,27406.0
Refresco Coca-Cola Zero Zero,12 latas x 330 ml ,26997.0
Refresco Coca-Cola Zero Zero,Lata 330 ml,27559.0
Refresco Coca-Cola Zero Zero,2 botellas x 2 L ,28180.0
Refresco Coca-Cola Zero Zero,Botella 2 L,27462.0
Refresco cola Hacendado Zero azúcar,Botella 2 L,29073.0
Refresco cola Hacendado Zero azúcar,6 latas x 330 ml ,29033.0
Refresco cola Hacendado Zero azúcar,Lata 330 ml,29034.0
Refresco cola Hacendado Zero azúcar Zero cafeína,Botella 2 L,29074.0
Refresco cola Hacendado Zero azúcar Zero cafeína,6 latas x 330 ml ,29035.0
Refresco cola Hacendado Zero azúcar Zero cafeína,Lata 330 ml,29036.0
Refresco cola Pepsi Max zero,"Botella 1,75 L",23898.0
Refresco Coca-Cola Zero Zero,12 latas x 330 ml ,26997.0
Refresco Coca-Cola Zero Zero,Lata 330 ml,27559.0
Refresco Coca-Cola Zero Zero,2 botellas x 2 L ,28180.0
Refresco Coca-Cola Zero Zero,Botella 2 L,27462.0
Refresco Coca-Cola sin cafeína,Lata 330 ml,27424.0
Refresco Coca-Cola sin cafeína,Botella 2 L,27446.0
Refresco cola Hacendado Zero azúcar Zero cafeína,Botella 2 L,29074.0
Refresco cola Hacendado Zero azúcar Zero cafeína,6 latas x 330 ml ,29035.0
Refresco cola Hacendado Zero azúcar Zero cafeína,Lata 330 ml,29036.0
Refresco Fanta limón,Botella 2 L,27610.0
Refresco Fanta limón,9 latas x 330 ml ,13817.0
Refresco Fanta limón,Lata 330 ml,27602.0
Refresco Fanta limón zero azúcares añadidos,Lata 330 ml,27608.0
Refresco de limón Hacendado fresh gas,Botella 2 L,29077.0
Refresco de limón Hacendado fresh gas,6 latas x 330 ml ,29043.0
Refresco de limón Hacendado fresh gas,Lata 330 ml,29044.0
Refresco de limón Hacendado zero azúcar fresh gas,Botella 2 L,29078.0
Refresco de limón Hacendado zero azúcar fresh gas,6 latas x 330 ml ,29045.0
Refresco de limón Hacendado zero azúcar fresh gas,Lata 330 ml,29046.0
Refresco limón Schweppes original,8 latas x 330 ml ,27761.0
Refresco limón Schweppes original,Lata 330 ml,27762.0
Refresco lima limón Sprite,Botella 2 L,26990.0
Refresco lima limón Sprite,8 latas x 330 ml ,28176.0
Refresco lima limón Sprite,Lata 330 ml,27845.0
Refresco lima limón 7 Up,Botella 2 L,27763.0
Refresco lima limón 7 Up,9 latas x 330 ml ,22112.0
Refresco lima limón 7 Up,Lata 330 ml,27770.0
Refresco lima limón Hacendado fresh gas,Botella 2 L,29079.0
