description,units,price_eu,unit_price,date,order_num,user
Jamón serrano Incarlopsa lonchas extra finas,1,1.99,1.99,2018-04-12,73955,family
Mini taquitos de jamón Incarlopsa,1,1.95,1.95,2018-04-12,73955,family
Queso rallado Entrepinares,2,2.0,1.0,2018-04-12,73955,family
Lenteja cocida Hacendado,2,1.18,0.59,2018-04-12,73955,family
Hogaza 100% natural,1,1.0,1.0,2018-04-12,73955,family
Café en cápsula ristretto L'Or Espresso,3,9.87,3.29,2018-04-12,73955,family
Albóndigas de carne Tenedor Plata ultracongeladas,1,1.6,1.6,2018-04-12,73955,family
Morcilla oreada d' Ontinyent,1,1.39,1.39,2018-04-12,73955,family
Ketchup Heinz,1,2.45,2.45,2019-05-22,185199,family
Edulcorante en pastillas sacarina Hacendado,1,1.05,1.05,2019-05-22,185199,family
Azúcar moreno de caña integral Acor,1,1.87,1.87,2019-05-22,185199,family
Azúcar blanco,1,0.69,0.69,2019-05-22,185199,family
Nidos al huevo tagliatelle Hacendado,1,1.15,1.15,2019-05-22,185199,family
Spaghetti Hacendado,2,1.5,0.75,2019-05-22,185199,family
Albaricoque,1,0.21,0.21,2019-05-22,185199,family
Kiwi verde,4,1.17,0.2925,2019-05-22,185199,family
Salmón marinado Ubago,1,2.35,2.35,2019-05-22,185199,family
Tomate frito Hacendado,1,0.8,0.8,2019-05-22,185199,family
Nata ligera para cocinar Hacendado,1,1.32,1.32,2019-05-22,185199,family
Salchichón extra Hacendado lonchas,1,1.39,1.39,2019-05-22,185199,family
Bacón Hacendado cintas,1,1.85,1.85,2019-05-22,185199,family
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2019-05-22,185199,family
Mozzarella fresca Hacendado,2,1.6,0.8,2019-05-22,185199,family
Spaghetti al huevo Hacendado,1,0.99,0.99,2019-05-22,185199,family
Arroz cocido integral Brillante,1,1.1,1.1,2019-05-22,185199,family
Jabón de manos dermoprotector Deliplus líquido,1,0.8,0.8,2019-05-22,185199,family
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2019-05-22,185199,family
Lomo embuchado Hacendado lonchas,1,1.71,1.71,2019-05-22,185199,family
Anguriñas Pescanova ultracongeladas,1,2.19,2.19,2019-05-22,185199,family
Gel de baño oliva Deliplus piel seca,1,1.35,1.35,2019-05-22,185199,family
"Champú agua de coco Fructis raíces grasas, puntas secas",1,2.95,2.95,2019-05-22,185199,family
Chocolate con leche Lindt,1,1.25,1.25,2019-05-22,185199,family
Yogur bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2019-05-22,185199,family
Plátano,5,1.77,0.354,2019-05-22,185199,family
Compresa con alas normal Evax cotton like,1,3.95,3.95,2019-05-22,185199,family
Níspero,1,1.56,1.56,2019-05-22,185199,family
Solomillo de cerdo,1,4.99,4.99,2019-05-22,185199,family
Solomillo de cerdo,1,4.32,4.32,2019-05-22,185199,family
Aguacate,1,1.86,1.86,2019-05-22,185199,family
Chorizo oreado,1,1.79,1.79,2019-05-22,185199,family
Queso havarti light Hacendado lonchas,1,2.48,2.48,2019-05-22,185199,family
Paraguayo,4,0.73,0.1825,2019-05-09,278125,family
Melocotón amarillo,5,1.51,0.302,2019-05-09,278125,family
Harina de trigo Hacendado,1,0.43,0.43,2019-05-09,278125,family
Crema al cacao con avellanas Nutella,1,2.75,2.75,2019-05-09,278125,family
