description,units,price_eu,unit_price,date,order_num,product_code
tomate frito receta artesana hacendado,1,1.85,1.85,2022-07-13,996926,
fregona microfibra absorbente bosque verde,1,2.95,2.95,2020-11-18,546427,
quitagrasas kh-7,1,2.69,2.69,2020-11-18,546427,
lavavajillas ultra original fairy liquido,1,2.8,2.8,2020-11-18,546427,
salmon marinado ubago,1,2.35,2.35,2020-11-18,546427,
corazones de alcachofa hacendado,1,2.3,2.3,2020-11-18,546427,
queso emmental natual,1,2.15,2.15,2020-11-18,546427,
queso havarti light hacendado lonchas,1,2.58,2.58,2020-11-18,546427,
jamon cocido extra hacendado finas lonchas,1,2.99,2.99,2020-11-18,546427,
salmon marinado ubago,1,2.35,2.35,2019-01-31,107492,
mozzarella fresca hacendado,2,1.6,0.8,2019-01-31,107492,
angurinas pescanova ultracongeladas,1,1.99,1.99,2019-01-31,107492,
esparrago verde entero jv ultracongelado,1,2.6,2.6,2019-01-31,107492,
porciones de merluza del cabo mascato ultracongeladas,1,3.8,3.8,2019-01-31,107492,
verdura floretas de brocoli para micro,1,1.2,1.2,2019-01-31,107492,
limpiador muebles jabonoso bosque verde para madera tratada,1,1.45,1.45,2019-01-31,107492,
limpiador antical bosque verde,1,1.6,1.6,2019-01-31,107492,
pizza masa fina jamon hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492,
pizza iberica hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492,
pizza mozzarella y pesto hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492,
atun claro en aceite de oliva hacendado,2,7.98,3.99,2019-01-31,107492,
yogur natural hacendado 0% materia grasa 0% sin azucares,1,0.77,0.77,2019-01-31,107492,
yogur natural edulcorado hacendado 0% materia grasa 0% sin azucares anadidos,1,0.79,0.79,2019-01-31,107492,
nata ligera para cocinar hacendado,1,1.32,1.32,2019-01-31,107492,
huevos grandes l,1,1.45,1.45,2019-01-31,107492,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2019-01-31,107492,
cafe en capsula sontuoso l'or espresso,2,6.58,3.29,2019-01-31,107492,
cafe en capsula ristretto l'or espresso,3,9.87,3.29,2019-01-31,107492,
arroz cocido integral brillante,1,1.1,1.1,2019-01-31,107492,
agua mineral bronchales grande,1,2.4,2.4,2019-01-31,107492,
papel higienico doble rollo bosque verde,1,3.74,3.74,2019-01-31,107492,
tomate frito receta artesana hacendado,1,1.7,1.7,2019-01-31,107492,
queso rallado entrepinares,1,1.0,1.0,2019-01-31,107492,
garbanzo cocido hacendado,1,0.7,0.7,2019-01-31,107492,
maiz dulce hacendado,2,1.9,0.95,2019-01-31,107492,
hogaza 100% natural,1,1.0,1.0,2019-01-31,107492,
longaniza fresca d' ontinyent,1,2.56,2.56,2019-01-31,107492,
morcilla oreada d' ontinyent,1,1.36,1.36,2019-01-31,107492,
queso havarti light hacendado lonchas,1,2.58,2.58,2019-01-31,107492,
queso curado entrepinares,1,3.14,3.14,2019-01-31,107492,
agua mineral grande cortes,2,1.46,0.73,2022-09-28,470822,
papel higienico doble rollo bosque verde,1,4.75,4.75,2022-09-28,470822,
garbanzo cocido hacendado,2,1.5,0.75,2022-09-28,470822,
pechugas enteras de pollo,1,4.73,4.73,2022-09-28,470822,
queso tierno mezcla hacendado,1,2.71,2.71,2022-09-28,470822,
longaniza fresca d'ontinyent,1,2.92,2.92,2022-09-28,470822,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.25,2.25,2022-09-28,470822,
corazones de alcachofa hacendado,2,5.6,2.8,2022-09-28,470822,
refresco coca-cola zero azucar,1,9.36,9.36,2022-09-28,470822,
cerveza tostada turia,1,6.0,6.0,2022-09-28,470822,
jamon cocido extra hacendado finas lonchas,1,3.09,3.09,2022-09-28,470822,
pechuga de pavo bajo en sal hacendado finas lonchas,1,3.15,3.15,2022-09-28,470822,
trampa antipolillas de los alimentos bosque verde,1,2.0,2.0,2022-09-28,470822,
estropajo suciedad resistente bosque verde,1,0.85,0.85,2022-09-28,470822,
mejillones en escabeche hacendado medianos,2,4.0,2.0,2022-09-28,470822,
maiz dulce hacendado,1,1.2,1.2,2022-09-28,470822,
tomate frito receta artesana hacendado,1,2.2,2.2,2022-09-28,470822,
mayonesa hellmann's,1,2.65,2.65,2022-09-28,470822,
huevos grandes l,1,2.15,2.15,2022-09-28,470822,
