description,units,price_eu,unit_price,date,order_num
Atún claro en aceite de oliva Hacendado,1,3.99,3.99,2020-08-28,140937
Pechuga de pavo bajo en sal Hacendado,1,2.99,2.99,2020-08-28,140937
Barra pan de pueblo rebanada,1,1.15,1.15,2020-08-28,140937
Pechuga de pavo Hacendado finas lonchas,1,2.95,2.95,2020-08-28,140937
Zumo pura naranja Hacendado,2,2.0,1.0,2020-08-28,140937
Champiñón laminado limpio,1,1.6,1.6,2020-08-28,140937
Longaniza magro fresca,1,2.94,2.94,2020-08-28,140937
Cuartos traseros de pollo,1,2.66,2.66,2020-08-28,140937
Cuartos traseros de pollo,1,2.66,2.66,2020-08-28,140937
Lomo de cerdo adobado,1,3.17,3.17,2020-08-28,140937
Filetes pechuga de pollo corte fino,1,4.31,4.31,2020-08-28,140937
Pintalabios mate Deliplus 06,1,4.5,4.5,2020-08-28,140937
Loción corporal 10% urea pura Deliplus,1,1.95,1.95,2020-08-28,140937
Paraguayo,4,1.34,0.335,2020-08-28,140937
Pera ercolina,5,1.23,0.246,2020-08-28,140937
Patatas fritas receta churrería Hacendado,1,0.8,0.8,2020-08-28,140937
"Redondos frescos berenjena, tomate y mozzarella Bel Canto",2,3.96,1.98,2020-08-28,140937
Berenjena,3,1.67,0.5566666666666666,2020-08-28,140937
Altramuces Hacendado,1,1.1,1.1,2020-08-28,140937
Almendra natural Hacendado,1,2.5,2.5,2020-08-28,140937
Pizza reina Hacendado con crema de queso fresco,1,1.89,1.89,2020-08-28,140937
Manzana golden,2,0.67,0.335,2020-08-28,140937
Galletas Digestive Hacendado,1,1.1,1.1,2020-08-28,140937
Bicarbonato sódico Hacendado,1,1.19,1.19,2020-08-28,140937
Vinagre de vino blanco Hacendado,1,0.49,0.49,2020-08-28,140937
Horchata fresca Hacendado,1,1.9,1.9,2020-08-28,140937
Leche semidesnatada Hacendado,3,1.74,0.58,2020-08-28,140937
Leche evaporada Hacendado,2,1.7,0.85,2020-08-28,140937
Caldo de pollo Hacendado bajo en sal,2,2.1,1.05,2020-08-28,140937
Mascarilla facial de barro Mar Muerto Montagne Jeunesse,1,1.5,1.5,2021-08-05,8403972
Mascarilla facial peeling de alga negra Montagne Jeunesse,1,1.5,1.5,2021-08-05,8403972
Burger de vacuno y cerdo,2,6.7,3.35,2021-08-05,8403972
Té estilo Inglés Hacendado,1,1.3,1.3,2021-08-05,8403972
