description,units,price_eu,unit_price,date,order_num
Placas para lasaña precocidas El Pavo,1,1.25,1.25,2019-05-09,278125
Placas para canelones Del Castillo,1,0.58,0.58,2019-05-09,278125
Ketchup Heinz,1,2.45,2.45,2019-05-09,278125
Spaghetti Hacendado,2,1.5,0.75,2019-05-09,278125
Nidos al huevo tagliatelle Hacendado,1,1.15,1.15,2019-05-09,278125
Champú anticaspa H&S cabello graso,1,2.99,2.99,2020-06-07,935378
Champú repara & protege Pantene cabello débil y dañado,3,8.97,2.99,2020-06-07,935378
Gel de baño oliva Deliplus piel seca,3,4.05,1.3499999999999999,2020-06-07,935378
Judía verde plana,1,2.49,2.49,2020-06-07,935378
Tomates cherry,1,1.49,1.49,2020-06-07,935378
Caldo de pollo Hacendado,1,1.64,1.64,2020-06-07,935378
Dentífrico original Binaca,2,3.0,1.5,2020-06-07,935378
Dentífrico max white one Colgate,2,5.4,2.7,2020-06-07,935378
Discos desmaquillantes Deliplus redondos,2,1.9,0.95,2020-06-07,935378
Crackers integrales de espelta Bachman,1,1.5,1.5,2020-06-07,935378
Hogaza 100% natural,1,1.0,1.0,2020-06-07,935378
"Pan con semillas 4,5% rebanado",1,1.5,1.5,2020-06-07,935378
Mascarillas higiénicas no reutilizables Deliplus,1,6.0,6.0,2020-06-07,935378
Bolsa de basura grande Bosque Verde 50L cubo grande,1,1.55,1.55,2020-06-07,935378
Puerros,1,1.01,1.01,2020-06-07,935378
Servilleta papel cocktail color Bosque Verde,2,2.6,1.3,2019-06-20,208575
Azafrán molido Hacendado,1,1.55,1.55,2019-06-20,208575
Pimentón dulce Hacendado,1,0.9,0.9,2019-06-20,208575
Tomate troceado pelado Hacendado,3,1.86,0.62,2019-06-20,208575
Cebolla,1,1.3,1.3,2019-06-20,208575
Ajo morado,1,1.2,1.2,2019-06-20,208575
Aceite de oliva virgen extra Hacendado,1,3.69,3.69,2019-06-20,208575
Triángulos de maíz tex-mex Doritos,2,2.7,1.35,2019-06-20,208575
Patatas fritas extra crujientes Hacendado,2,2.9,1.45,2019-06-20,208575
Aceitunas rellenas de anchoa Hacendado,1,3.1,3.1,2019-06-20,208575
Fuet espetec extra Hacendado,3,5.94,1.9800000000000002,2019-06-20,208575
Almendra frita marcona Hacendado,1,3.8,3.8,2019-06-20,208575
Hummus de garbanzos Hacendado receta clásica,2,4.58,2.29,2019-06-20,208575
Nachos Hacendado,6,5.1,0.85,2019-06-20,208575
Guacamole,3,9.87,3.2899999999999996,2019-06-20,208575
Tabla de quesos nacionales,4,15.0,3.75,2019-06-20,208575
Lambrusco dell'Emilia rosado espumoso Piccolo Giovanni,5,9.25,1.85,2019-06-20,208575
Vino blanco semidulce L'Antigón D.O Valencia,5,7.45,1.49,2019-06-20,208575
Refresco Coca-Cola zero azúcar,1,2.72,2.72,2019-06-20,208575
Refresco Coca-Cola,2,5.44,2.72,2019-06-20,208575
Refresco Fanta naranja,2,2.58,1.29,2019-06-20,208575
Refresco Fanta limón,8,10.56,1.32,2019-06-20,208575
Tónica Nordic Mist,6,18.72,3.1199999999999997,2019-06-20,208575
Vodka Absolut,2,23.9,11.95,2019-06-20,208575
Ron dominicano añejo superior Brugal,3,40.95,13.65,2019-06-20,208575
Ginebra London dry gin Beefeater,8,102.32,12.79,2019-06-20,208575
Cerveza Clásica Steinburg,12,36.0,3.0,2019-06-20,208575
Gelatina sabor fresa Hacendado,1,0.85,0.85,2022-07-13,996926
Patatas,1,4.4,4.4,2022-07-13,996926
Refresco Coca-Cola Zero azúcar,1,8.4,8.4,2022-07-13,996926
Cerveza tostada Turia,1,6.0,6.0,2022-07-13,996926
Longaniza de payés Hacendado lonchas,1,1.83,1.83,2022-07-13,996926
Jamón cocido extra Hacendado finas lonchas,1,3.17,3.17,2022-07-13,996926
Pechuga de pavo bajo en sal Hacendado finas lonchas,1,3.19,3.19,2022-07-13,996926
Limpiamáquinas lavavajillas líquido Bosque Verde,1,1.7,1.7,2022-07-13,996926
Trampa antipolillas de los alimentos Bosque Verde,1,2.0,2.0,2022-07-13,996926
Estropajo suciedad resistente Bosque Verde,1,0.85,0.85,2022-07-13,996926
Lavavajillas Ultra Original Fairy líquido,1,3.25,3.25,2022-07-13,996926
Abrillantador lavavajillas líquido Bosque Verde,1,1.2,1.2,2022-07-13,996926
Limpia lavadoras Bosque Verde líquido,1,2.0,2.0,2022-07-13,996926
