categoria,subcategoria,descripcion,unidades,precio
"Arroz, legumbres y pasta",Legumbres,Alubia cocida pinta Hacendado,Tarro 570 g (400 g escurrido),"1,10 € /ud."
"Arroz, legumbres y pasta",Legumbres,Alubia blanca Hacendado,Paquete 1 kg,"1,85 € /ud."
"Arroz, legumbres y pasta",Legumbres,Alubia cocida Ganxet Hacendado,Tarro 295 g (210 g escurrido),"2,20 € /ud."
"Arroz, legumbres y pasta",Legumbres,Alubia negra Hacendado,Paquete 1 kg,"2,40 € /ud."
"Arroz, legumbres y pasta",Legumbres,Alubia roja Hacendado,Paquete 1 kg,"2,55 € /ud."
"Arroz, legumbres y pasta",Legumbres,Alubia cocida granja Hacendado,Tarro 570 g (350 g escurrido),"1,50 € /ud."
"Arroz, legumbres y pasta",Legumbres,Alubia pinta Hacendado,Paquete 1 kg,"2,26 € /ud."
"Arroz, legumbres y pasta",Legumbres,Lenteja pardina Hacendado,Paquete 1 kg,"2,10 € /ud."
"Arroz, legumbres y pasta",Legumbres,Lenteja cocida Hacendado,Tarro 570 g (400 g escurrido),"0,87 €0,80 € /ud."
"Arroz, legumbres y pasta",Legumbres,Lenteja cocida Hacendado,Tarro 295 g (210 g escurrido),"0,75 €0,70 € /ud."
"Arroz, legumbres y pasta",Legumbres,Soja texturizada grano fino Hacendado,Paquete 250 g,"2,25 € /ud."
"Arroz, legumbres y pasta",Legumbres,Lenteja Hacendado,Paquete 1 kg,"1,88 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideo cabello de ángel Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideuá Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideo grueso Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta maravilla Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta piñones Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideo mediano Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideo al huevo Hacendado,Paquete 500 g,"1,35 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta infantil con vegetales Hacendado,Paquete 500 g,"1,30 €1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Sémola de trigo Hacendado,Paquete 500 g,"1,60 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Tapioca Tipiak,Caja 225 g,"1,90 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta estrellas sin gluten Felicia,Paquete 500 g,"2,00 €1,95 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pajaritas vegetales Hacendado,Paquete 500 g,"1,10 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta penne integral Hacendado,Paquete 500 g,"1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta tortiglioni Armando,Paquete 500 g,"1,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Hélices con vegetales Hacendado,Paquete 1 kg,"1,60 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Macarrón fino Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Macarrón al huevo Hacendado,Paquete 500 g,"1,35 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Macarrón Hacendado,Paquete 1 kg,"1,35 €1,30 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Macarrón rayado Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta penne Armando,Paquete 500 g,"1,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fusilli 100% lentejas rojas Felicia,Paquete 250 g,"1,58 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta trottole vegetales Hacendado,Paquete 500 g,"1,30 €1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fusilli Armando,Paquete 500 g,"1,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta tiburón Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Hélices Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Macarrón Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fusilli sin gluten Felicia,Paquete 500 g,"2,00 €1,95 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta mariscos Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta corallini integral Hacendado,Paquete 500 g,"1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Tallarines Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti integral Hacendado,Paquete 500 g,"1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti fino Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Nidos al huevo Hacendado,Paquete 500 g,"1,35 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti al huevo Hacendado,Paquete 500 g,"1,35 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti Hacendado,Paquete 1 kg,"1,35 €1,30 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti Hacendado,Paquete 500 g,"0,82 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti sin gluten Felicia,Paquete 500 g,"2,00 €1,95 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Spaghetti Armando,Caja 500 g,"1,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca tagliatelle al huevo Hacendado,Paquete 250 g,"1,15 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Tortellini carne Pagani,Paquete 250 g,"1,35 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca tortellini carne Hacendado,Bandeja 250 g,"1,72 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca ravioli ricotta y espinacas Hacendado,Bandeja 250 g,"1,72 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Tortellini tres quesos Pagani,Paquete 250 g,"1,35 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca gnocchi Hacendado,Paquete 500 g,"1,12 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca triángulo setas y mascarpone Hacendado,Bandeja 250 g,"2,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca girasoles quesos Hacendado,Bandeja 250 g,"1,72 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca medialunas parmigiano reggiano y trufa Hacendado,Bandeja 250 g,"2,48 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca medialunas calabaza y crema de quesos Hacendado,Bandeja 250 g,"2,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca tortellini jamón y queso Hacendado,Paquete 250 g,"1,72 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca gnocchi quesos Hacendado,Paquete 400 g,"2,00 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca girasoles queso de cabra y cebolla caramelizada Hacendado,Bandeja 250 g,"2,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta fresca ravioli tomate y queso burrata Hacendado,Bandeja 250 g,"2,24 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Placas para lasaña precocidas El Pavo,Caja 18 placas (200 g),"1,43 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Placas para canelones precocidas El Pavo,Caja 12 placas (80 g),"1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Placas para canelones El Pavo,Caja 20 placas (125 g),"1,20 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales Yakisoba classic Gallina Blanca,Vaso 93 g,"1,95 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales Yatekomo sabor pollo Gallina Blanca,3 vasos x 60 g,"3,95 € /pack"
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales Yatekomo sabor pollo Gallina Blanca,Vaso 60 g,"1,55 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Pasta oriental sabor pollo Maggi,Paquete 71 g,"0,90 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales Yakisoba sabor soja Hacendado,Vaso 80 g,"1,30 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales Yakisoba sabor soja Hacendado,Paquete 90 g,"0,90 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales sabor pollo Hacendado,Vaso 65 g,"0,95 €0,85 € /ud."
"Arroz, legumbres y pasta",Pasta y fideos,Fideos orientales sabor picante Hacendado,Vaso 65 g,"1,00 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar blanco Hacendado,Paquete 1 kg,"1,45 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar blanco en sobres Hacendado,Caja 50 sticks (350 g),"1,55 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar moreno de caña Hacendado,Paquete 1 kg,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar moreno de caña en sobres Hacendado,Caja 50 sobres (350 g),"1,60 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Panela azúcar moreno de caña integral Hacendado,Paquete 500 g,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar glas Hacendado,Bote 500 g,"2,60 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante líquido sacarina Hacendado,Bote 150 ml,"0,85 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante en pastillas sacarina Hacendado,Bote 850 pastillas (52 g),"1,15 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante en sobres sacarina Hacendado,Caja 60 sobres (60 g),"1,15 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Sirope de agave Hacendado,Bote 350 g,"2,70 €2,60 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante líquido stevia Hacendado,Bote 150 ml,"2,05 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante granulado stevia Hacendado,Bote 200 g,"3,10 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante en pastillas stevia Hacendado,Bote 175 pastillas (9 g),"1,85 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante en sobres stevia Hacendado,Caja 54 sobres (54 g),"2,00 € /ud."
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante Eritritol y Sucralosa Hacendado,Bote 200 g,"3,20 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles menta fuerte gragea Hacendado,Paquete 32 chicles (45 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles menta fuerte gragea Hacendado,Bote 70 chicles (100 g),"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles hierbabuena gragea Hacendado,Paquete 32 chicles (45 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles hierbabuena gragea Hacendado,Bote 70 chicles (100 g),"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles hierbabuena lámina Hacendado,Paquete 12 chicles (31 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles menta suave gragea Hacendado,Paquete 32 chicles (45 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles fresa gragea Hacendado,Paquete 32 chicles (45 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles fresa gragea Hacendado,Bote 70 chicles (100 g),"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles original sabor frutas gragea Hacendado,Paquete 32 chicles (45 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles regaliz y menta gragea Hacendado,Paquete 32 chicles (45 g),"1,25 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles sandía lámina Hacendado,Paquete 12 chicles (31 g),"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles XXL gragea Hacendado,Paquete 25 chicles (100 g),"1,80 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles jengibre gragea Hacendado,Paquete 32 chicles (45 g),"1,25 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Chicles Melones ácidos Hacendado,Paquete 100 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos nata Hacendado 0% azúcares,Paquete 90 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos café Hacendado 0% azúcares,Paquete 90 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos sabor eucalipto y mentol Hacendado 0% azúcares,Paquete 90 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos eucaliptus mentol Respiral Halls,Paquete 150 g,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos cítricos mix Halls,4 paquetes x 32 g,"2,60 € /pack"
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos limón mentol Respiral Halls,Paquete 150 g,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos original Halls,4 paquetes x 32 g,"2,60 € /pack"
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos blandos Fruits Hacendado,Paquete 300 g,"1,50 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos miel sabor limón Pifarré,Paquete 125 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos con palo 4 sabores Chupa Chups,Paquete 12 ud. (144 g),"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos regaliz mentol Respiral Halls,Paquete 150 g,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos jengibre y própolis Hacendado 0% azúcares,Paquete 90 g,"1,35 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos Mix Fruits Hacendado 0% azúcares,Paquete 100 g,"1,20 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos con palo Cherry Stick Hacendado con chicle sabor cereza,Paquete 7 ud. (105 g),"1,30 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos sabor eucalipto y mentol Hacendado extra forte,Paquete 150 g,"1,25 € /ud."
"Azúcar, caramelos y chocolate",Chicles y caramelos,Caramelos blandos rellenos Fruits Hacendado,Paquete 300 g,"2,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 85% cacao Hacendado,Tableta 100 g,"1,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro fundir Hacendado,Tableta 200 g,"1,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Porciones de Chocolate negro 72% cacao extrafino Hacendado,Paquete 200 g,"2,35 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate 70% negro Valor 0% azúcares añadidos,Tableta 125 g,"2,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 72% de cacao Hacendado con pepitas de cacao caramelizadas,Tableta 100 g,"1,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 72% de cacao Hacendado,Tableta 100 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 55% cacao Hacendado con almendras,Tableta 200 g,"1,60 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate puro Valor,Tableta 300 g,"3,80 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate puro Valor con almendras enteras,Tableta 250 g,"3,90 €3,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro relleno de mousse Hacendado,Tableta 140 g,"1,85 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate puro Valor con almendras enteras,Tableta 150 g,"3,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolatinas de chocolate negro Royal Mints 49% rellenas de crema sabor a menta,Caja 200 g,"1,70 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Gotas de chocolate negro para fundir Hacendado,Paquete 250 g,"2,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 72% de cacao Hacendado con almendras enteras,Tableta 200 g,"2,15 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Porciones de Chocolate negro 85% cacao extrafino Hacendado,Paquete 200 g,"2,65 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 72% cacao Hacendado con trozos de naranja,Tableta 100 g,"1,40 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 85% cacao extrafino y edulcorante Hacendado 0% azúcares añadidos,Tableta 100 g,"1,50 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 70% cacao fundir Hacendado 0% azúcares añadidos,Tableta 200 g,"2,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,99% cacao negro Hacendado,Tableta 100 g,"1,80 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro 55% cacao Hacendado,Tableta 150 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate negro Fussion Hacendado relleno sabor stracciatella,Tableta 95 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche classic Hacendado,Tableta 150 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche extrafino Nestlé,Tableta 125 g,"1,40 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Oreo Milka,Tableta 100 g,"1,55 €1,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Milka,Tableta 150 g,"1,55 €1,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate extrafino con leche Hacendado almendras enteras,Tableta 200 g,"1,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Valor almendras enteras,Tableta 250 g,"3,90 €3,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Hacendado avellanas troceadas,Tableta 150 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate extrafino con leche Hacendado 0% azúcares añadidos,Tableta 125 g,"1,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche caramelo Milka,Tableta 100 g,"1,55 €1,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Valor almendras enteras,Tableta 150 g,"3,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Milka galleta,Tableta 300 g,"3,50 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Hacendado almendras troceadas,Tableta 150 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Fussion Hacendado relleno crema de fresa,Tableta 110 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Fideos de chocolate Hacendado,Paquete 100 g,"1,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche fundir Hacendado,Tableta 200 g,"1,60 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,"Chocolate con leche Fussion Hacendado relleno cremoso, avellanas y barquillo crujiente",Tableta 100 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate con leche Fussion Hacendado relleno de galleta caramelizada,Tableta 110 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate blanco Hacendado,Tableta 100 g,"0,75 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate blanco fundir Hacendado,Tableta 200 g,"1,60 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate blanco Fussion Hacendado galletas al cacao,Tableta 100 g,"1,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Chocolate blanco Fussion Hacendado relleno con cremoso de coco y almendras troceadas,Tableta 100 g,"1,05 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de barquillo Huesitos bañadas de chocolate con leche,Paquete 10 ud. (200 g),"2,45 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de chocolate con leche Hacendado rellenas de leche,Paquete 16 ud. (200 g),"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de barquillo Kit-Kat bañadas de chocolate con leche,"Paquete 5 ud. (207,5 g)","3,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de barquillo Tokke original,Paquete 3 ud. (141 g),"1,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Disquitos Pintarolas de chocolate con leche coloreados,Paquete 200 g,"1,50 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Cacahuetes Hacendado chocolate negro,Paquete 250 g,"2,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Cacahuetes Hacendado chocolate con leche,Paquete 250 g,"2,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de galleta y caramelo Hacendado bañadas de chocolate con leche,Paquete 5 ud. (200 g),"1,50 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Cacahuetes Chocoiris Hacendado bañados de chocolate con leche coloreados,Paquete 180 g,"1,75 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Monedas de chocolate con leche,Malla 70 g,"1,10 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevos de chocolate Hacendado dibujo,3 ud. x 20 g,"1,65 € /pack"
"Azúcar, caramelos y chocolate",Chocolate,Huevos de chocolate Hacendado dibujo,3 ud. x 20 g,"1,65 € /pack"
"Azúcar, caramelos y chocolate",Chocolate,Huevo de chocolate Hacendado,50 g,"1,40 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevo crema al cacao,25 g,"1,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,"Bolas de cereal bañadas Hacendado de chocolate negro, con leche y blanco",Paquete 200 g,"2,15 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche,Paquete 6 ud. (135 g),"1,50 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Barritas de barquillo Hacendado con relleno cremoso cubiertas de chocolate blanco,Paquete 6 ud. (135 g),"1,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,"Anacardos bañados Hacendado de chocolate con leche, miel y sal",Paquete 150 g,"2,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,"Barritas Peanuts bañadas de chocolate con leche y rellenas con caramelo, cacahuetes tostados y crema azucarada Hacendado",Paquete 6 ud. (216 g),"1,75 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Piruleta de chocolate con leche Pascua Hacendado,35 g,"1,50 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Surtido de chocolate con leche Pascua Hacendado,Paquete 200 g,"2,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevos de chocolate con disquitos de colores Pascua Hacendado,Paquete 150 g,"2,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevo de chocolate con leche Pokemon Pascua Hacendado con sorpresa,120 g,"3,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevo de chocolate con leche Paw Patrol Pascua Hacendado con sorpresa,120 g,"3,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevos de chocolate con leche Minis relleno cremoso y cereales Pascua Hacendado,Paquete 150 g,"1,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Huevo de chocolate con leche chispeante Pascua Kokoa,40 g,"1,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Figura chocolate blanco conejo Pascua Hacendado,60 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Figura de chocolate con leche conejo Pascua Hacendado,60 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,"Surtido bombones Senzza de chocolate con avellana, fondant, praliné y almendra",Paquete 470 g,"4,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Bombones cereza al licor Hacendado con chocolate negro,Paquete 150 g,"1,90 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Surtido bombones Caja Roja Nestlé,Caja 22 ud. (200 g),"6,30 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Bombones de chocolate con leche Lindor Lindt,Caja 200 g,"7,00 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Surtido bombones Senzza de chocolate negro 70%,Paquete 16 ud. (180 g),"2,25 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Bombones delicias de avellana Delizze Hacendado,Caja 16 ud. (216 g),"3,70 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Surtido bombones La Boutique del Praliné,Caja 20 ud. (205 g),"3,75 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema al cacao con avellanas Hacendado,Bote 500 g,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema de avellanas y cacao Hacendado,Bote 400 g,"2,40 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema al cacao con avellanas Nutella,Tarro 350 g,"3,69 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema al cacao con avellanas Nocilla original,Tarro 360 g,"3,49 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Dulce de leche Chimbote,Tarro 430 g,"2,71 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema al cacao con avellanas Hacendado de 2 sabores,Bote 500 g,"1,95 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema al cacao y leche con avellanas Nocilla,Tarro 360 g,"3,49 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema de cacahuete 100% Crunchy Hacendado,Tarro 500 g,"3,05 €2,95 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema de cacahuete 100% Hacendado,Tarro 500 g,"3,05 €2,95 € /ud."
"Azúcar, caramelos y chocolate",Chocolate,Crema de leche y avellanas Hacendado,Tarro 400 g,"2,90 € /ud."
"Azúcar, caramelos y chocolate",Golosinas,Golosinas Xuxes Top Ten Hacendado,Paquete 20 ud. (135 g),"1,25 € /ud."
"Azúcar, caramelos y chocolate",Golosinas,Golosinas Moras Hacendado,Paquete 200 g,"1,15 € /ud."
"Azúcar, caramelos y chocolate",Golosinas,Golosinas Fruit Mix Hacendado,Paquete 250 g,"1,15 €1,10 € /ud."
"Azúcar, caramelos y chocolate",Golosinas,Golosinas Nubi Mallow Hacendado,Paquete 150 g,"0,95 € /ud."
"Azúcar, caramelos y chocolate",Golosinas,Caramelo Pikotas masticable Dulciora,Paquete 100 g,"1,45 € /ud."
