categoria,subcategoria,descripcion,price_eu,price_disc_eu,marca,format,quantity
"Aceite, especias y salsas",Otras salsas,Salsa fresca Queso Hacendado,1.45,,Hacendado,Paquete,1 x 180 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Pesto con albahaca Hacendado,2.0,,Hacendado,Tarrina,1 x 150 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Setas,1.55,,,Paquete,1 x 180 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Carbonara Hacendado,1.55,,Hacendado,Paquete,1 x 200 g
"Aceite, especias y salsas",Otras salsas,Salsa de soja Hacendado,1.45,1.4,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa teriyaki Hacendado,1.65,,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa agridulce Salsas Asturianas,1.7,,,Bote,1 x 340 g
"Aceite, especias y salsas",Otras salsas,Salsa thai chili dulce J-Lek,1.55,,,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa de soja sin gluten Hacendado,2.5,,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,3.59,,Hacendado,Tarrina,1 x 500 g
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,1.75,,Hacendado,Tarrina,1 x 200 g
"Aceite, especias y salsas",Otras salsas,Salsa yogur Hacendado,1.25,1.2,Hacendado,Bote,1 x 310 ml
"Aceite, especias y salsas",Otras salsas,Salsa mexicana Hacendado,1.25,,Hacendado,Tarro,1 x 300 g
"Aceite, especias y salsas",Otras salsas,Salsa Ranch Hacendado,1.35,,Hacendado,Bote,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa césar Hacendado,1.4,,Hacendado,Bote,1 x 310 ml
"Aceite, especias y salsas",Otras salsas,"Aliño de aceite, ajo y perejil Hacendado",1.5,,Hacendado,Tarrina,1 x 150 ml
"Aceite, especias y salsas",Otras salsas,Salsa miel y mostaza Hacendado,1.5,1.45,Hacendado,Bote,1 x 340 g
"Aceite, especias y salsas",Otras salsas,Salsa de trufas,3.1,,,Bote,1 x 80 g
"Aceite, especias y salsas",Otras salsas,Salsa gajos rústica Hacendado,1.35,,Hacendado,Bote,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa de queso Hacendado,1.75,,Hacendado,Tarro,1 x 280 ml
"Aceite, especias y salsas",Otras salsas,Chili con carne Hacendado,2.65,,Hacendado,Bote,1 x 420 g
"Aceite, especias y salsas",Otras salsas,Salsa bechamel Knorr,2.25,,,Brick,1 x 500 ml
"Aceite, especias y salsas",Otras salsas,Extracto original de buey Bovril,3.0,,,Tarro,1 x 125 g
"Aceite, especias y salsas",Otras salsas,Salsa cocktail Hacendado,1.5,1.4,Hacendado,Bote,1 x 460 ml
"Aceite, especias y salsas",Otras salsas,Salsa romesco Ferrer,1.8,,,Tarro,1 x 130 g
"Aceite, especias y salsas",Otras salsas,Salsa calçots Ferrer,2.69,,,Tarro,1 x 320 g
"Aceite, especias y salsas",Otras salsas,Pasta de sésamo Tahini Hacendado,2.95,,Hacendado,Tarro,1 x 200 g
"Aceite, especias y salsas",Otras salsas,Salsa brava Hacendado,1.8,,Hacendado,Bote,1 x 310 g
Agua y refrescos,Agua,Agua mineral grande Font Agudes,0.89,,,Garrafa,1 x 8 L
Agua y refrescos,Agua,Agua mineral grande Font Agudes,0.78,,,Garrafa,1 x 6 L
Agua y refrescos,Agua,Agua mineral grande Font Agudes,1.5,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,0.25,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,2.4,,,botellas,6 x 1 L
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,0.4,,,Botella,1 x 1 L
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,1.32,,,botellas,6 x 500 ml
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,0.22,,,Botella,1 x 500 ml
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,1.44,,,botellas,6 x 330 ml
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,0.24,,,Botella,1 x 330 ml
Agua y refrescos,Agua,Agua mineral grande Bronchales,1.26,,,Garrafa,1 x 6 L
Agua y refrescos,Agua,Agua mineral grande Bronchales,2.34,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Bronchales,0.39,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral mediana Bronchales,3.0,,,botellas,6 x 1 L
Agua y refrescos,Agua,Agua mineral mediana Bronchales,0.5,,,Botella,1 x 1 L
Agua y refrescos,Agua,Agua mineral pequeña Bronchales,1.62,,,botellas,6 x 500 ml
Agua y refrescos,Agua,Agua mineral pequeña Bronchales,0.27,,,Botella,1 x 500 ml
Agua y refrescos,Agua,Agua mineral pequeña Bronchales tapón infantil,2.28,,,botellas,6 x 330 ml
Agua y refrescos,Agua,Agua mineral pequeña Bronchales tapón infantil,0.38,,,Botella,1 x 330 ml
Agua y refrescos,Agua,Agua mineral grande Bezoya,4.44,4.14,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Bezoya,0.74,0.69,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Ribes,1.99,,,Garrafa,1 x 8 L
Agua y refrescos,Agua,Agua mineral grande Ribes,3.3,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Ribes,0.55,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Nestlé Aquarel,3.54,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Nestlé Aquarel,0.59,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Font Vella,4.2,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Font Vella,0.73,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Solán de Cabras,5.34,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Solán de Cabras,0.89,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Viladrau,3.78,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Viladrau,0.63,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua de coco Chaokoh 100% natural,2.6,,,Brick,1 x 1 L
Agua y refrescos,Agua,Agua mineral con gas grande Vichy Catalan,1.49,,,Botella,1 x 1 L
Agua y refrescos,Agua,Agua mineral con gas pequeña Vichy Catalan,5.89,,,botellas,6 x 300 ml
Agua y refrescos,Agua,Agua mineral con gas grande Cortes,2.46,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral con gas grande Cortes,0.41,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral con gas pequeña Cortes,1.62,,,botellas,6 x 500 ml
Agua y refrescos,Agua,Agua mineral con gas pequeña Cortes,0.27,,,Botella,1 x 500 ml
Agua y refrescos,Agua,Agua mineral con gas grande San Narciso,1.29,,,Botella,1 x 1 L
Agua y refrescos,Agua,Agua mineral con gas grande San Pellegrino,8.16,,,botellas,6 x 1 L
Agua y refrescos,Agua,Agua mineral con gas grande San Pellegrino,1.36,,,Botella,1 x 1 L
Agua y refrescos,Agua,Agua de soda con sifón La Casa,1.6,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral con gas grande Fonter,6.84,,,botellas,6 x 1 L
Agua y refrescos,Agua,Agua mineral con gas grande Fonter,1.14,,,Botella,1 x 1 L
Agua y refrescos,Agua,Gaseosa Hacendado grande,0.5,,Hacendado,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Gaseosa Hacendado pequeña,1.92,,Hacendado,botellas,6 x 500 ml
Agua y refrescos,Agua,Gaseosa Hacendado pequeña,0.32,,Hacendado,Botella,1 x 500 ml
Agua y refrescos,Agua,Gaseosa La Casera grande,2.36,,,botellas,"2 x 1,5 L"
Agua y refrescos,Agua,Gaseosa La Casera grande,1.2,,,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,1.99,,Aquarius,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,0.89,0.8,Aquarius,Lata,1 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica sabor cítrico Iso drink,1.0,,,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica sabor cítrico Iso drink,2.7,,,latas,6 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica sabor cítrico Iso drink,0.45,,,Lata,1 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica naranja Aquarius,1.99,,Aquarius,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica naranja Aquarius,6.8,6.24,Aquarius,latas,8 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica naranja Aquarius,0.89,0.8,Aquarius,Lata,1 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius zero azúcar,1.99,,Aquarius,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica de naranja Iso drink,1.0,,,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica de naranja Iso drink,2.7,,,latas,6 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica de naranja Iso drink,0.45,,,Lata,1 x 330 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica Iso On blue Hacendado,1.55,,Hacendado,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida isotónica Iso On blue Hacendado,0.6,,Hacendado,Botella,1 x 500 ml
Agua y refrescos,Isotónico y energético,Bebida isotónica azul Powerade,1.52,,,Botella,1 x 500 ml
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Zero Hacendado,2.7,2.4,Hacendado,latas,6 x 250 ml
Agua y refrescos,Isotónico y energético,Bebida energética Zero Hacendado,0.4,,Hacendado,Lata,1 x 250 ml
Agua y refrescos,Isotónico y energético,Bebida energética Energy Ultra zero Monster,6.68,,,latas,4 x 500 ml
Agua y refrescos,Isotónico y energético,Bebida energética Energy Ultra zero Monster,1.79,,,Lata,1 x 500 ml
Agua y refrescos,Isotónico y energético,Bebida energética energy Monster,7.08,6.0,,latas,4 x 500 ml
Agua y refrescos,Isotónico y energético,Bebida energética Energy Monster,1.89,1.55,,Lata,1 x 500 ml
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Hacendado,1.7,,Hacendado,Botella,"1 x 1,5 L"
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Hacendado,2.7,2.4,Hacendado,latas,6 x 250 ml
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Hacendado,0.45,0.4,Hacendado,Lata,1 x 250 ml
