categoria,subcategoria,descripcion,unidades,precio,marca
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla con Hueso en Frasco 500 Gr,"5,18 € / 1 Kg","2,59 €",CONSUM
Despensa,Aperitivos y frutos secos,Galletas Saladas Bacón Paquete 100 Gr,"14,90 € / 1 Kg","1,49 €",LU
Despensa,Aperitivos y frutos secos,Pepinillos Agridulces Frasco 230 Gr,"7,35 € / 1 Kg","1,69 €",CONSUM
Despensa,Aperitivos y frutos secos,Guindillas en Vinagre Frasco 160 Gr,"8,06 € / 1 Kg","1,29 €",CONSUM
Despensa,Aperitivos y frutos secos,Cóctel Frutos Secos Clásico Bolsa 175 Gr,"12,51 € / 1 Kg","2,19 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla sin Hueso en Frasco 400 Gr,"6,48 € / 1 Kg","2,59 €",CONSUM
Despensa,Aperitivos y frutos secos,Palomitas Microondas Saladas Pack de 3 3 x 100 Gr,"8,17 € / 1 Kg","2,45 €",POPITAS
Despensa,Aperitivos y frutos secos,Picadillo de Encurtidos Frasco 200 Gr,"6,75 € / 1 Kg","1,35 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas Calabaza Tostadas Sal Bolsa 125 Gr,"12,40 € / 1 Kg","1,55 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla Sabor Anchoa con Hueso 500 Gr,"6,10 € / 1 Kg","3,05 €",CONSUM
Despensa,Aperitivos y frutos secos,Palomitas Mantequilla Bolsa 90 Gr,"9,44 € / 1 Kg","0,85 €",CONSUM KIDS
Despensa,Aperitivos y frutos secos,Patatas Fritas Sin Sal Añadida Bolsa 130 Gr,"9,92 € / 1 Kg","1,29 €",CONSUM
Despensa,Aperitivos y frutos secos,Aros de Maíz Kaskys Bolsa 120 Gr,"9,08 € / 1 Kg","1,09 €",TOSFRIT
Despensa,Aperitivos y frutos secos,Selección Frutos Secos y Snacks Mix5 XL 300 Gr,"9,50 € / 1 Kg","2,85 €",MISTERCORN
Despensa,Aperitivos y frutos secos,Galleta Salada Bote 350 Gr,"3,71 € / 1 Kg","1,30 €",CONSUM
Despensa,Aperitivos y frutos secos,Almendra Repelada Cruda 150 Gr,"12,60 € / 1 Kg","1,89 €",CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Campesinas Ahorro 250 Gr,"12,36 € / 1 Kg","3,09 €",LAY'S
Despensa,Aperitivos y frutos secos,Palitos de Patatas Bolsa 75 Gr,"11,33 € / 1 Kg","0,85 €",CONSUM
Despensa,Aperitivos y frutos secos,Maíz Gigante Frito Bolsa 250 Gr,"9,00 € / 1 Kg","2,25 €",CONSUM
Despensa,Aperitivos y frutos secos,Cortezas Morro-Torrezno Bolsa 150 Gr,"13,67 € / 1 Kg","2,05 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas Lata 600 Gr,"7,25 € / 1 Kg","4,35 €",CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Cuatro Variantes en Vinagre Frasco 225 Gr,"6,44 € / 1 Kg","1,45 €",CONSUM
Despensa,Aperitivos y frutos secos,Maíz Gigante Frito Barbacoa Bolsa 100 Gr,"11,50 € / 1 Kg","1,15 €",CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Aceituna Verde Negra-Cebollita-Pepinillo 185 Gr,"10,76 € / 1 Kg","1,99 €",JOLCA
Despensa,Aperitivos y frutos secos,Galletas Saladas Cracker Caja 200 Gr,"13,75 € / 1 Kg","2,75 €",RITZ
Despensa,Aperitivos y frutos secos,Coctel Frutos Secos Cáscara Bolsa 250 Gr,"7,00 € / 1 Kg","1,75 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Sabor Anchoa con Hueso en Lata 185 Gr,"11,30 € / 1 Kg","2,09 €",JOLCA
Despensa,Aperitivos y frutos secos,Aceituna Manzanilla Frasco 420 Gr,"11,17 € / 1 Kg","4,69 €",JOLCA
Despensa,Aperitivos y frutos secos,Cóctel Frutos Secos Especial Premiun 100 Gr,"19,90 € / 1 Kg","1,99 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceituna con Guindilla Picante 150 Gr,"19,93 € / 1 Kg","2,99 €",KIMBO
Despensa,Aperitivos y frutos secos,Piñones Pelados Tarro 45 Gr,"11,09 € / 100 Gr","4,99 €",SABATER
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas Jalapeños Lata 130 Gr,"15,77 € / 1 Kg","2,05 €",JOLCA
Despensa,Aperitivos y frutos secos,Avellana Cáscara Granel,"7,60 € / 1 Kg","7,60 €",
Despensa,Aperitivos y frutos secos,Aceitunas Gordal con Hueso en Frasco 475 Gr,"8,82 € / 1 Kg","4,19 €",CONSUM
Despensa,Aperitivos y frutos secos,Alcaparrones en Vinagre Frasco 150 Gr,"13,87 € / 1 Kg","2,08 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Gordal Picante con Hueso en Frasco 475 Gr,"8,82 € / 1 Kg","4,19 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Cocktail Imperial Tarro 360 Gr,"13,58 € / 1 Kg","4,89 €",JOLCA
Despensa,Aperitivos y frutos secos,Cebollitas Sabor Anchoa Tarro 200 Gr,"7,95 € / 1 Kg","1,59 €",CONSUM
Despensa,Aperitivos y frutos secos,Pimiento en Salmuera Pet 425 Gr,"6,55 € / 1 Kg","2,75 €",CORBI
Despensa,Aperitivos y frutos secos,Banderillas Picantes Aceite y Sabor Anchoa 120 Gr,"22,08 € / 1 Kg","2,65 €",KIMBO
Despensa,Aperitivos y frutos secos,Aceituna Gordal Picante sin Hueso Lata 150 Gr,"15,93 € / 1 Kg","2,39 €",BERNAL
Despensa,Aperitivos y frutos secos,Pipa Calabaza Pelada Tostada Paquete 150 Gr,"15,00 € / 1 Kg","2,25 €",CONSUM
Despensa,Aperitivos y frutos secos,Cacahuete Garrapiñado Doypack 130 Gr,"9,15 € / 1 Kg","1,19 €",PRUNITA
Despensa,Aperitivos y frutos secos,Almendra con Cáscara Tostada Bolsa 250 Gr,"13,00 € / 1 Kg","3,25 €",
